FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Glen,Johnson,DEF,STK,4500000,0,0,0.0,0.0,0.0,0,5036,0,0,0,0,0,0,0,0.0,5036,0,0,0,0,0.0,0,0,0,0,0,0,0,0.7,337,0,0,0,0,0,337,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,2017,1,Y17W1
Phil,Jones,DEF,MUN,5000000,6,6,6.0,1.2e-06,1.2e-06,0,6188,0,0,0,0,0,0,0,1.2,6188,0,0,6,0,1.2,0,6,0,0,1,0,0,2.1,52220,0,0,0,0,90,52220,0,0,27,Swansea,Leicester,Stoke,Everton,Southampton,2.0,2017,1,Y17W1
,Joselu,FWD,NEW,5500000,0,0,0.0,0.0,0.0,0,3560,0,0,0,0,0,0,0,0.0,3560,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,671,0,0,0,0,0,671,0,0,0,Huddersfield,West Ham,Swansea,Stoke,Brighton,0.0,2017,1,Y17W1
Christian,Kabasele,DEF,WAT,4500000,0,0,0.0,0.0,0.0,0,275,0,0,0,0,0,0,0,0.0,275,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,28,0,0,0,0,0,28,0,0,0,Bournemouth,Brighton,Southampton,Man City,Swansea,0.0,2017,1,Y17W1
Younes,Kaboul,DEF,WAT,4500000,1,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,3686,0,3,0,0,0,0,0,0.2,3686,0,0,1,0,0.2,0,1,0,0,0,0,0,0.5,1406,0,0,0,0,90,1406,0,0,14,Bournemouth,Brighton,Southampton,Man City,Swansea,3.5,2017,1,Y17W1
Elias,Kachunga,MID,HUD,6000000,3,3,3.0,5e-07,5e-07,0,1270,0,0,0,0,0,0,0,0.5,1270,0,0,3,0,0.5,0,3,0,0,1,0,0,0.3,2002,0,0,0,0,90,2002,0,0,10,Newcastle,Southampton,West Ham,Leicester,Burnley,2.2,2017,1,Y17W1
Harry,Kane,FWD,TOT,12500000,1,1,1.0,8e-08,8e-08,0,162900,1,0,0,0,0,0,0,0.1,162900,0,0,1,0,0.1,0,1,0,0,1,0,0,31.9,13564,0,0,0,0,90,13564,0,0,-6,Chelsea,Burnley,Everton,Swansea,West Ham,12.2,2017,1,Y17W1
N'Golo,Kante,MID,CHE,5000000,2,2,2.0,4e-07,4e-07,0,56980,0,3,0,0,0,0,0,0.4,56980,0,0,2,0,0.4,0,2,0,0,0,0,0,17.0,22957,0,0,0,0,90,22957,0,0,17,Tottenham,Everton,Leicester,Arsenal,Stoke,6.9,2017,1,Y17W1
Loris,Karius,GLK,LIV,5000000,0,0,0.0,0.0,0.0,0,1015,0,0,0,0,0,0,0,0.0,1015,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,138,0,0,0,0,0,138,0,0,0,Crystal Palace,Arsenal,Man City,Burnley,Leicester,0.0,2017,1,Y17W1
Beram,Kayal,MID,BHA,4500000,0,0,0.0,0.0,0.0,0,892,0,0,0,0,0,0,0,0.0,892,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,56,0,0,0,0,0,56,0,0,0,Leicester,Watford,West Brom,Bournemouth,Newcastle,0.0,2017,1,Y17W1
Michael,Keane,DEF,EVE,5500000,8,8,8.0,1.45454545454545e-06,1.45454545454545e-06,0,20154,0,0,0,0,0,0,0,1.5,20154,0,0,8,0,1.5,0,8,2,0,1,0,0,14.4,60861,0,0,0,0,90,60861,0,0,31,Man City,Chelsea,Tottenham,Man Utd,Bournemouth,4.0,2017,1,Y17W1
Martin,Kelly,DEF,CRY,4500000,0,0,0.0,0.0,0.0,0,2023,0,0,0,0,0,0,0,0.0,2023,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,178,0,0,0,0,0,178,0,0,0,Liverpool,Swansea,Burnley,Southampton,Man City,0.0,2017,1,Y17W1
,Kenedy,MID,CHE,5000000,0,0,0.0,0.0,0.0,0,463,0,0,0,0,0,0,0,0.0,463,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,91,0,0,0,0,0,91,0,0,0,Tottenham,Everton,Leicester,Arsenal,Stoke,0.0,2017,1,Y17W1
Jonjoe,Kenny,DEF,EVE,4500000,0,0,0.0,0.0,0.0,0,917,0,0,0,0,0,0,0,0.0,917,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,188,0,0,0,0,0,188,0,0,0,Man City,Chelsea,Tottenham,Man Utd,Bournemouth,0.0,2017,1,Y17W1
,Ki Sung-yueng,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,106,0,0,0,0,0,0,0,0.0,106,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,26,0,0,0,0,0,26,0,0,0,Man Utd,Crystal Palace,Newcastle,Tottenham,Watford,0.0,2017,1,Y17W1
,Kiko Femenia,DEF,WAT,4500000,1,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,444,0,3,0,0,0,0,0,0.2,444,0,0,1,0,0.2,0,1,0,0,0,0,0,0.1,271,0,0,0,0,72,271,0,0,11,Bournemouth,Brighton,Southampton,Man City,Swansea,1.1,2017,1,Y17W1
Andy,King,MID,LEI,4500000,0,0,0.0,0.0,0.0,0,4701,0,0,0,0,0,0,0,0.0,4701,0,0,0,0,0.0,0,0,0,0,0,0,0,0.8,1443,0,0,0,0,0,1443,0,0,0,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,0.0,2017,1,Y17W1
Joshua,King,FWD,BOU,7500000,2,2,2.0,2.66666666666667e-07,2.66666666666667e-07,0,47380,0,1,0,0,0,0,0,0.3,47380,0,0,2,0,0.3,0,2,0,0,0,0,0,5.4,4858,0,0,0,0,90,4858,0,0,6,Watford,Man City,Arsenal,Brighton,Everton,6.5,2017,1,Y17W1
Stephen,Kingsley,DEF,SWA,4500000,0,0,0.0,0.0,0.0,0,845,0,0,0,0,0,0,0,0.0,845,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,97,0,0,0,0,0,97,0,0,0,Man Utd,Crystal Palace,Newcastle,Tottenham,Watford,0.0,2017,1,Y17W1
